active,created_date,id,intent_name,notes,scope,source,tags,trigger_sentence,type,updated_date
True,2021-11-01T09:25:32,a6cd428d-eac9-416d-af85-59f96aa4eb9d,bt_comms_method,,seed,variant,,Get my things by post,TRIGGER,2021-11-01T09:25:32
True,2021-11-02T00:30:04,df8b6f06-1434-4382-9c3a-38a3ee95ff91,bt_comms_method,,seed,variant,,Do you send statements out by post?,TRIGGER,2021-11-02T00:30:04
True,2021-11-01T09:25:32,04bf52cc-d2e3-4222-b3e3-edf0abccf17f,bt_comms_method,,seed,variant,,I'd like to get things by mail please,TRIGGER,2021-11-01T09:25:32
True,2021-11-02T00:30:04,4d411823-4a16-4406-a978-bbf26b241ece,bt_comms_method,,seed,variant,,Do I have to get all my things digitally?,TRIGGER,2021-11-02T00:30:04
True,2021-11-02T00:30:04,5b98cc21-4c14-49b2-9400-1bcdf9fced6b,bt_comms_method,,seed,variant,,Where do I go to set my preferences to receive by mail?,TRIGGER,2021-11-02T00:30:04
True,2021-03-16T15:14:46,d14b360e-d15e-498d-96b9-2370da3d8007,bt_payment_settings,,seed,variant,['btmarchvariants'],I need to change the payment settings for my client.,TRIGGER,2021-03-16T15:14:46
True,2021-03-16T15:14:46,96d86354-6ecd-45b2-b77d-499e7fd885b8,bt_payment_settings,,seed,variant,['btmarchvariants'],Can I change the payment settings for this client's account?,TRIGGER,2021-03-16T15:14:46
True,2020-12-16T15:43:53,2b14e4c2-b974-44ca-a8ec-29287f830a11,bt_payment_settings,,seed,variant,,Is there a way to change the payment settings?,TRIGGER,2020-12-16T15:43:53
True,2021-01-29T20:03:19,a180c5ec-a387-40c8-8f3d-a3485ebcb0ef,bt_payment_settings,,seed,variant,['btjanseeds'],How to do I give my client the ability to make payments?,TRIGGER,2021-01-29T20:03:19
True,2020-12-16T15:43:53,034fef52-6c27-42f0-ab43-61bc4e72480a,bt_payment_settings,,seed,variant,,Where can I go to change the payment settings?,TRIGGER,2020-12-16T15:43:53
True,2020-12-16T15:43:53,5a12f68b-d40e-47aa-85ba-e532144f67b0,bt_payment_settings,,seed,variant,,How can I amend the payment settings?,TRIGGER,2020-12-16T15:43:53
True,2021-03-22T15:33:06,3a3976a8-3423-42a2-a8f5-e8a6fd3957a7,bt_payment_settings,,seed,variant,,where do i find the form for an adviser to have different authority for Payments,TRIGGER,2022-02-22T15:33:06
True,2021-03-16T15:14:46,2e083b16-00d1-4120-ba69-ea671c9d3930,bt_payment_settings,,seed,variant,['btmarchvariants'],Where can I go to change my client's payment settings?,TRIGGER,2021-03-16T15:14:46
True,2020-12-16T15:43:53,ecf728f3-2a23-4364-82e1-d454c8babdfa,bt_payment_settings,,seed,variant,,I need to change the payment settings.,TRIGGER,2020-12-16T15:43:53
True,2020-12-16T15:43:53,a26fb142-6816-4d95-b949-44edf71cd1eb,bt_payment_settings,,seed,variant,,Can I change the payment settings for this account?,TRIGGER,2020-12-16T15:43:53
True,2021-03-16T15:14:46,8e68f39b-29b9-4377-b0fa-f30152e9aac4,bt_payment_settings,,seed,variant,['btmarchvariants'],Where can I go to change the payment settings for client?,TRIGGER,2021-03-16T15:14:46
True,2021-03-16T15:14:46,f6175959-3e2f-4629-b97a-c8ae2a4da09b,bt_payment_settings,,seed,variant,['btmarchvariants'],Is there a way to change my client's payment settings?,TRIGGER,2021-03-16T15:14:46
True,2021-03-16T15:14:46,10f2c0cc-d480-490f-8ad9-f8f521964df1,bt_payment_settings,,seed,variant,['btmarchvariants'],Is there a way to change the payment settings for my client?,TRIGGER,2021-03-16T15:14:46
True,2020-12-16T15:43:53,a76f77d7-56e4-483e-a2b0-6df82e046a8d,bt_payment_settings,,seed,variant,,How do we change the payment settings?,TRIGGER,2020-12-16T15:43:53
True,2021-03-16T15:14:46,cc64bcd1-617f-4b85-ab76-4246cc2c107c,bt_payment_settings,,seed,variant,['btmarchvariants'],How can I amend the payment settings for a client?,TRIGGER,2021-03-16T15:14:46
True,2020-12-11T18:33:25,dfb028ad-2632-4fb3-95a0-db04de4874fe,bt_pension_payment_amount,,seed,variant,['btdecseeds'],What is my annual pension?,TRIGGER,2020-12-11T18:33:25
True,2020-10-21T15:18:25,6b3f7999-0181-484d-9673-80ff4df48bd7,bt_pension_payment_amount,,seed,variant,,How much am I due to receive in the next payment?,TRIGGER,2020-10-21T15:18:25
True,2020-10-21T15:18:25,3e540193-8b60-4a40-8ef5-fa1e3b486b2b,bt_pension_payment_amount,,seed,variant,,How much will I be getting every month as pension payout,TRIGGER,2020-10-21T15:18:25
True,2020-12-11T18:33:25,30e76fd6-8599-48bf-93ad-fd5e63ccbd84,bt_pension_payment_amount,,seed,variant,['btdecseeds'],What am I set to receive next pension?,TRIGGER,2020-12-11T18:33:25
True,2020-12-11T18:33:25,0b782f49-76e0-43e2-a92c-100da22a65fd,bt_pension_payment_amount,,seed,variant,['btdecseeds'],What is my pension?,TRIGGER,2020-12-11T18:33:25
True,2020-12-11T18:33:25,617a6f67-e541-413e-b476-36421cf3d539,bt_pension_payment_amount,,seed,variant,['btdecseeds'],How much do I receive for my pension?,TRIGGER,2020-12-11T18:33:25
True,2020-12-11T18:33:25,d5f6d119-d3e4-46f0-8f6c-2ae9ee0642a2,bt_pension_payment_amount,,seed,variant,['btdecseeds'],How do I know what I will receive as my next pension payment?,TRIGGER,2020-12-11T18:33:25
True,2020-10-21T15:18:25,119fd134-ac05-4994-9edb-c9a7e47a657c,bt_pension_payment_amount,,seed,variant,,What is my pension payment amount?,TRIGGER,2020-10-21T15:18:25
True,2020-12-11T18:33:25,fa20f1e9-653b-4e2a-bbdd-ce0c5ce0abcc,bt_pension_payment_amount,,seed,variant,['btdecseeds'],Where can I go to find my pension plan?,TRIGGER,2020-12-11T18:33:25
True,2020-12-11T18:33:25,63260760-7bef-4214-9b59-e14c0cf5f3e7,bt_pension_payment_amount,,seed,variant,['btdecseeds'],What dollar amount do I receive for each pension payment?,TRIGGER,2020-12-11T18:33:25
True,2020-12-11T18:33:25,fcdc871f-9416-4804-ac3c-d184f023f551,bt_pension_payment_amount,,seed,variant,['btdecseeds'],How much is my minimum pension?,TRIGGER,2020-12-11T18:33:25
True,2020-12-11T18:33:25,4f9d4d6f-d7da-4ec7-abf0-14b629d15973,bt_pension_payment_amount,,seed,variant,['btdecseeds'],How much money do I receive for a pension?,TRIGGER,2020-12-11T18:33:25
True,2020-12-11T18:33:25,4b53d770-4ffa-4e8e-9069-056191a1149a,bt_pension_payment_amount,,seed,variant,['btdecseeds'],Where does my pension payments transfer to?,TRIGGER,2020-12-11T18:33:25
True,2020-12-11T18:33:25,123e6c6a-1a10-4a4b-8736-532d13144410,bt_pension_payment_amount,,seed,variant,['btdecseeds'],How much is a pension?,TRIGGER,2020-12-11T18:33:25
True,2020-12-11T18:33:25,4d688f52-dfdc-48e2-b4ac-b1c8e28c7dcd,bt_pension_payment_amount,,seed,variant,['btdecseeds'],What is my current pension setup?,TRIGGER,2020-12-11T18:33:25
True,2020-06-09T15:33:29,9r9r79r1-91d7-45a9-a854-f4fcc009b76e,bt_pension_payment_amount,,seed,variant,,How much is my pension payment?,TRIGGER,2020-06-09T15:33:29
True,2020-12-11T18:33:25,60bde26a-6260-4aa3-b8d2-86a39cf5ff96,bt_pension_payment_amount,,seed,variant,['btdecseeds'],What do I receive in pension payments annually?,TRIGGER,2020-12-11T18:33:25
True,2020-12-11T18:33:25,35ff9614-bfac-449a-9c5e-b48e6d55586f,bt_pension_payment_amount,,seed,variant,['btdecseeds'],What amount will I receive next pension payment?,TRIGGER,2020-12-11T18:33:25
True,2020-10-21T15:18:25,34d9e3ff-195d-4a60-ba43-e936a1a09302,bt_pension_payment_amount,,seed,variant,,What is my pension payout amount,TRIGGER,2020-10-21T15:18:25
True,2020-12-11T18:33:25,ae08cf66-0c3a-467c-9b1b-85c9bfd16978,bt_pension_payment_amount,,seed,variant,['btdecseeds'],Can you show me where to find my pension details?,TRIGGER,2020-12-11T18:33:25
True,2020-12-11T18:33:25,c9b8d847-ecc3-409c-bf1e-12e89542f0e3,bt_pension_payment_amount,,seed,variant,['btdecseeds'],How much do I receive in pension payments each year?,TRIGGER,2020-12-11T18:33:25
True,2020-12-11T18:33:25,7172e29a-3ff4-4600-a1a2-655e1161581a,bt_pension_payment_amount,,seed,variant,['btdecseeds'],Do you know how much I will receive next pension payment?,TRIGGER,2020-12-11T18:33:25
True,2020-12-11T18:33:25,fd6a7dc2-b89b-4b06-b33a-2468bc028d1b,bt_pension_payment_amount,,seed,variant,['btdecseeds'],Do I receive a minimum pension?,TRIGGER,2020-12-11T18:33:25
True,2020-01-13T22:21:56,89aaca8f-b6be-41df-98e1-cc6252a46176,110_SWIFTcode_S,,seed,variant,['happy'],how do i get the swift code,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,c5b2fab5-20b7-4b71-bdc1-4a2dbb10bb89,110_SWIFTcode_S,,seed,variant,['happy'],What is a bankname Swift code?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,512ca405-dfdb-427a-8906-85e34a8dcb01,110_SWIFTcode_S,,seed,variant,['happy'],What's the bankname SWIFT code?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,8b16925e-b008-44de-b7b8-c2dfac8ed444,110_SWIFTcode_S,,seed,variant,['happy'],What's the bankname Bank Addres,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,5a26b8ac-69e0-478d-9683-6ed29c496093,110_SWIFTcode_S,,seed,variant,['happy'],I want to know the Swift code for Acme Bank.,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,e4869617-443c-4777-a618-389390730046,110_SWIFTcode_S,,seed,variant,['happy'],i have inward remmittance. almost 11 hot,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,811261ae-9107-416e-a27a-7f69eed2e9e5,110_SWIFTcode_S,,seed,variant,['happy'],give me more info on bankname swift code,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,ef3556c1-d189-4a34-b1ff-02f806b0e406,110_SWIFTcode_S,,seed,variant,['happy'],Tell me my bankname Bank Address,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,d469532d-8c9c-44f7-918a-a1b412fa3c47,110_SWIFTcode_S,,seed,variant,['happy'],WHATS THE SWIFT CODE,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,8d3ba651-a1c3-41de-97e7-6d77861d20d2,110_SWIFTcode_S,,seed,variant,['happy'],can you tell me my swift bic code,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,210eaf83-56a5-4df2-a03e-d5571d7b7ebc,110_SWIFTcode_S,,seed,variant,['happy'],i want to know my swift code,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,0d037c59-526d-4d64-a829-c71fd8e099d7,110_SWIFTcode_S,,seed,variant,['happy'],Can you tell me what a swift code is?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,05514579-5fa3-4743-aaf0-6f56d086ef22,110_SWIFTcode_S,,seed,variant,['happy'],What is the Swift code for?,TRIGGER,2020-01-13T22:21:56
True,2021-03-16T15:14:46,4dc3af8f-a2b1-4dba-857d-fb5cb5b0747e,110_SWIFTcode_S,,seed,variant,['btmarchvariants'],does Panorama have a swift code?,TRIGGER,2021-03-16T15:14:46
True,2020-01-13T22:21:56,d3954cb6-8c67-4cde-89fa-3fe7d01235ea,110_SWIFTcode_S,,seed,variant,['happy'],swift code please,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,f8204541-bd63-40d2-a93c-3e50e3c3748e,110_SWIFTcode_S,,seed,variant,['happy'],what is inbound code,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,95ba37b5-043a-454a-839f-f3406c261b96,110_SWIFTcode_S,,seed,variant,['happy'],Can you please give me the address for bankname Bank?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,7e41bf5b-44d6-4aca-be89-2eda13957e3c,110_SWIFTcode_S,,seed,variant,['happy'],Acme Bank bank address what is it,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,2e4b3324-ee58-4e6b-af63-6925d2b6ae55,110_SWIFTcode_S,,seed,variant,['happy'],What is the code for bankname?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,0fe5a6a9-cf89-4899-adf0-23c0bd90df59,110_SWIFTcode_S,,seed,variant,['happy'],Where do I find the bankname swift code?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,a2fc58ff-2b01-4e9e-87dd-fb880c2b229d,110_SWIFTcode_S,,seed,variant,['happy'],swift code ?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,453716e8-6360-41ff-a4f9-df01bcb54ed6,110_SWIFTcode_S,,seed,variant,['happy'],How to find the bankname swift code?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,b17c777c-b2ea-40ee-a615-93f2dd2d9d4c,110_SWIFTcode_S,,seed,variant,['happy'],How do I find the bankname Bank Address or swift code?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,54f9a172-4f11-4d5d-894c-3c2f323fcb67,110_SWIFTcode_S,,seed,variant,['happy'],How can I find out the swift code?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,5367074c-f520-4d35-84f0-4834e8663201,110_SWIFTcode_S,,seed,variant,['happy'],what is in TT code?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,ee9ecdc0-4df8-402b-b224-37b3cfcf8197,110_SWIFTcode_S,,seed,variant,['happy'],Tell me the bankname swift code please,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,7b644b9f-389c-4022-9fbd-c982c179e915,110_SWIFTcode_S,,seed,variant,['happy'],Acme Bank bank address please,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,10ee51a1-584d-4135-ace7-f22716faf83a,110_SWIFTcode_S,,seed,variant,['happy'],What is the standard swift code for overseas?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,231a927e-4760-499c-bee6-30077d1f0b26,110_SWIFTcode_S,,seed,variant,['happy'],"Acme Bank Bank Address, what exactly is it?",TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,9cb41873-115b-4b9b-b2ad-cb67fbd858ce,110_SWIFTcode_S,,seed,variant,['happy'],please clarify the meaning of swift code.,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,e66cdd2b-eee1-4584-a3a2-fbbfd38ffe65,110_SWIFTcode_S,,seed,variant,['happy'],what is the code,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,a7da8b0a-d023-4461-9cb1-93e8488f5e53,110_SWIFTcode_S,,seed,variant,['happy'],I need the swift code for bankname Bank.,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,829c3225-c5d5-4373-8964-29128f9d57a1,110_SWIFTcode_S,,seed,variant,['happy'],What's the swift code for bankname?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,6ed1109a-bfc5-4ea7-8f51-3bc92181fcdc,110_SWIFTcode_S,,seed,variant,['happy'],Can you give me the bankname swift code,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,75ee0843-8e4a-4447-9209-8faeb549ffab,110_SWIFTcode_S,,seed,variant,['happy'],what is the swift code please?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,9f740b15-0d30-4fd2-b911-12d773703de6,110_SWIFTcode_S,,seed,variant,['happy'],What's the bankname swift code please?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,00b41fe7-7075-4f7e-93e8-516e2ee8ff71,110_SWIFTcode_S,,seed,variant,['happy'],swift,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,f78f8138-f663-4dad-916a-12ca20a31c82,110_SWIFTcode_S,,seed,variant,['happy'],Can you explain the swift code?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,ecbdc8fd-c374-40a5-bfb1-159a6fc24e67,110_SWIFTcode_S,,seed,variant,['happy'],what is bankname swift code?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,708d7178-f195-43c4-a9e4-15e76371b262,110_SWIFTcode_S,,seed,variant,['happy'],Give me the bankname Swift code.,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,75e6d6de-7626-437a-b571-d7ee4c6c2226,110_SWIFTcode_S,,seed,variant,['happy'],i need swift code my account,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,4a5e1626-744f-4c5a-8f08-68c1f75a1c03,110_SWIFTcode_S,,seed,variant,['happy'],how to get bob iban number,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,540fea77-ba75-40ce-806b-58b618dd8292,110_SWIFTcode_S,,seed,variant,['happy'],what is swift code for my account,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,7fc9b39b-ec73-4c4a-a7b6-c966b79e86f5,110_SWIFTcode_S,,seed,variant,['happy'],whts swift code,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,0bcc2b51-65a4-4cac-b2b6-f658521198e1,110_SWIFTcode_S,,seed,variant,['happy'],How do I find the bankname swift code?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,a246ef8f-0969-4b46-9c30-ce006b2f487a,110_SWIFTcode_S,,seed,variant,['happy'],swift-bic,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,c5c68fa7-995e-4ffc-9cf4-8d2e7b19e39a,110_SWIFTcode_S,,seed,variant,['happy'],tell me your swift number,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,559f4c07-80c4-444f-84a9-ea83e7b7ce71,110_SWIFTcode_S,,seed,variant,['happy'],foreign remittance inward,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,1acb8a2f-5bcb-43d9-8a7e-d8dbbbcc2822,110_SWIFTcode_S,,seed,variant,['happy'],what is my swift code ?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,81d35fa3-d750-4553-a40b-0f67d7e0200a,110_SWIFTcode_S,,seed,variant,['happy'],my swiftcode,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,15911c30-366b-49b3-8cc1-4ddb8538509a,110_SWIFTcode_S,,seed,variant,['happy'],Where can I find the SWIFT code for bankname?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,bfa7ff8a-4fb2-4510-a82a-72e483ac8c1b,110_SWIFTcode_S,,seed,variant,['happy'],What's the current bankname swift code?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,cc93841b-de55-493a-b6e1-adcb483c6649,110_SWIFTcode_S,,seed,variant,['happy'],international bank account number,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,613da748-8603-40ac-8008-7e4b608ea092,110_SWIFTcode_S,,seed,variant,['happy'],tell me about the swift code?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,149ef37d-0b6f-4c5d-8dca-253b38bd13e5,110_SWIFTcode_S,,seed,variant,['happy'],I need to know what the swift code is for Acme Bank,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,ba662635-7fda-4636-8def-801852ef354c,110_SWIFTcode_S,,seed,variant,['happy'],what is in TT wire transder code,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,8f6c189d-e3e6-45d4-812e-d4feec26e261,110_SWIFTcode_S,,seed,variant,['happy'],Can I have the bankname Bank Address?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,5a5aaf65-bbf7-4773-b368-a075ca0fd981,110_SWIFTcode_S,,seed,variant,['happy'],What is the bankname Bank street Address?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,d336c2e9-21ec-407b-936a-833c6c1d5128,110_SWIFTcode_S,,seed,variant,['happy'],What's the SWIFT code for bankname Bank?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,163d0ab4-f0bc-4a28-8f75-fb33072a1c5f,110_SWIFTcode_S,,seed,variant,['happy'],what does bankname swift code mean for me?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,ff9efa45-0599-4901-8dbd-f454a00711d7,110_SWIFTcode_S,,seed,variant,['happy'],I need the swift code for bankname please.,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,2cd13adf-2d52-4d17-98d2-5fd6d08a782f,110_SWIFTcode_S,,seed,variant,['happy'],iban,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,77701c27-1eb6-48c9-bb60-41611093a9a9,110_SWIFTcode_S,,seed,variant,['happy'],what is the s swift code?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,f3c39832-86c8-4b15-89de-3954dea5ffb0,110_SWIFTcode_S,,seed,variant,['happy'],Where can I find the bankname SWIFT Code?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,00b41fe7-7075-4f7e-93e8-516f2fe9ff11,110_SWIFTcode_S,,seed,variant,['happy'],I’m making a transfer from overseas was is Panorama’s SWIFT code?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,59a578ce-f4c1-4465-88f7-0d83066700c8,110_SWIFTcode_S,,seed,variant,['happy'],"Can you tell me the swift code, please?",TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,7b897d52-b98d-465a-9c75-c10955265f5a,110_SWIFTcode_S,,seed,variant,['happy'],I'd like to know the bankname Bank Address.,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,d4fe8d8b-b79d-4f34-8fe3-b6d5580b416f,110_SWIFTcode_S,,seed,variant,['happy'],what is aba number,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,8d404395-907e-494c-b5bc-1a46a0c0afd5,110_SWIFTcode_S,,seed,variant,['happy'],What is the swift code for bankname?,TRIGGER,2020-01-13T22:21:56
True,2020-01-13T22:21:56,f6c7408b-bd8d-4fa4-83d7-a5d875b18f8d,110_SWIFTcode_S,,seed,variant,['happy'],i have some commission to be transfered to my bankname account they are asking me for swift code and bank address what to do ?,TRIGGER,2020-01-13T22:21:56
