test_case_number,test_source,test_type,segment,segment_description,segment_active,intent,intent_display_name,intent_active,enabled_for_segment,example_trigger,response_type,expected_response,expected_buttons,total_turns,description,turn_2_input,turn_2_expected_response,turn_2_expected_content,slot_name,user_input_label,source_intent,target_intent,navigation_type,source_response,target_response,user_action,expected_intent
1862,matrix,,bt_channel_mobile_investor,bt_channel_mobile_investor,Yes,bt_usi_abn,bt_usi_abn,Yes,Yes,ABN SPIN,Segment-specific (bt_channel_mobile_investor),ABN: 90 194 410 365 USI: 90 194 410 365 011 Address: BT Panorama GPO Box 2861 Adelaide SA 5001,,,,,,,,,,,,,,,
1874,matrix,,bt_channel_public,bt_channel_public,Yes,44_CloseAcc_S,44_CloseAcc_S,Yes,Yes,1 am closing my account and need information on the process to follow to complete the task,Segment-specific (bt_channel_public),"You can access your account for 2 years after the account has been closed. If this period has passed, you can call us on 1300 881 716 (or +612 9155 4029 outside Australia) from 8:30am to 6:30pm, Monday to Friday (Sydney time) and a consultant will assist you.",Help me sign in,,,,,,,,,,,,,,
1877,matrix,,bt_channel_public,bt_channel_public,Yes,69_LiveAgent_S,69_LiveAgent_S,Yes,Yes,# for customer care,Segment-specific (bt_channel_public),I may be able to get you additional support. Some of the top things people ask me about are:,Forgot username|Forgot password|Help me register|Contact BT,,,,,,,,,,,,,,
1879,matrix,,bt_channel_public,bt_channel_public,Yes,76_ServiceRequestStatus_S,76_ServiceRequestStatus_S,Yes,Yes,(111) 111-11111 service request number,Segment-specific (bt_channel_public),To better help you with your query could you log in into your account and please ask me again?,,,,,,,,,,,,,,,
1928,matrix,,bt_channel_public,bt_channel_public,Yes,bt_find_forms,bt_find_forms,Yes,Yes,Are the forms listed under reports?,Segment-specific (bt_channel_public),To better help you with your query could you log in into your account and please ask me again?,,,,,,,,,,,,,,,
1929,matrix,,bt_channel_public,bt_channel_public,Yes,bt_forgot_username_password,bt_forgot_username_password,Yes,Yes,11111111 reset password,Segment-specific (bt_channel_public),"If your account was set up using your existing Westpac profile, you can sign in using your Westpac Live access. If you have forgotten your username or password, please select the relevant button. If you are unable to retrieve your username or password, you can contact us over the phone on 1300 881 716 (or +612 9155 4029 if calling from overseas), 8:30am to 6:30pm (Sydney time), Monday to Friday.",Forgot username|Forgot password,,,,,,,,,,,,,,
1943,matrix,,bt_channel_public,bt_channel_public,Yes,bt_login_failure,bt_login_failure,Yes,Yes,"""I encountered problems when trying to log into internet banking. What should I do? """,Segment-specific (bt_channel_public),Please select which applies to your log in difficulties.,Forgotten username or password|Technical difficulties|BT Super account|Security code|Locked account,,,,,,,,,,,,,,
1950,matrix,,bt_channel_public,bt_channel_public,Yes,bt_not_working,bt_not_working,Yes,Yes,Are there any problems currently with the website?,Segment-specific (bt_channel_public),"One of our consultants will be able to assist you with this query. If you would like assistance, you can contact us on 1300 881 716 8:30am to 6:30pm (Sydney time) Monday to Friday.",,,,,,,,,,,,,,,
1986,matrix,,bt_channel_public,bt_channel_public,Yes,bt_usi_abn,bt_usi_abn,Yes,Yes,ABN SPIN,Segment-specific (bt_channel_public),Please see our website for the ABN and USI for our products. Please select the 'Fund information' button.,Fund information,,,,,,,,,,,,,,
2318,matrix,,bt_user_adviser,bt_user_adviser,Yes,44_CloseAcc_S,44_CloseAcc_S,Yes,Yes,1 am closing my account and need information on the process to follow to complete the task,Segment-specific (bt_user_adviser),"To close your client's Panorama account: 1. Select 'Go to page'. 2. Select 'Submit new request'. 3. In the 'Rollovers and withdrawals' section, select 'Investment/super account closure' (depending on the type of account you wish to close) then follow the prompts. To see the status of a closure request, select  'Go to page'. To view the full life cycle of the closure, select the 'Track progress' option on the right hand side of the screen under 'Actions'. To view Panorama accounts that have already closed, select 'View closed accounts'.",Go to page|View closed accounts,,,,,,,,,,,,,,
2321,matrix,,bt_user_adviser,bt_user_adviser,Yes,69_LiveAgent_S,69_LiveAgent_S,Yes,Yes,# for customer care,Segment-specific (bt_user_adviser),I may be able to get you additional support. Some of the top things people ask me about are:,Update residential address |Status of request|Contact BT|EOFY information|Chat with consultant,,,,,,,,,,,,,,
2323,matrix,,bt_user_adviser,bt_user_adviser,Yes,76_ServiceRequestStatus_S,76_ServiceRequestStatus_S,Yes,Yes,(111) 111-11111 service request number,Segment-specific (bt_user_adviser),"You can now view and submit requests for your clients via our 'Service requests' page on Panorama. Do you want to submit a new request, check the status of all your clients' requests, or view a specific client's requests? For assistance using the 'Service requests' page, select 'Help & support'.",Submit new request|Check all accounts|Check specific account|Help & support|Status of a trade,,,,,,,,,,,,,,
2359,matrix,,bt_user_adviser,bt_user_adviser,Yes,bt_client_details,bt_client_details,Yes,Yes,". ""How do I amend client's details",Segment-specific (bt_user_adviser),Which of your client's contact details would you like to update? To update a residential address: 1. Navigate to the clients account. 2. Select 'Account details'  3. Click on the clients name (linked in blue) 4. Select the 'Edit' pencil icon next to the contact detail that needs to be updated.,Email or Postal address|All other contact details|Chat with consultant|Adviser details,,,,,,,,,,,,,,
2385,matrix,,bt_user_adviser,bt_user_adviser,Yes,bt_find_forms,bt_find_forms,Yes,Yes,Are the forms listed under reports?,Segment-specific (bt_user_adviser),Account-specific forms can be accessed via the 'Service requests' page. Non-account related administration forms can be accessed via 'Help & support'.,Service requests|Help & support,,,,,,,,,,,,,,
2386,matrix,,bt_user_adviser,bt_user_adviser,Yes,bt_forgot_username_password,bt_forgot_username_password,Yes,Yes,11111111 reset password,Segment-specific (bt_user_adviser),"To edit your username and password under the 'Your details' section, select 'Go to page'. To view your clients username navigate to 'Account details' when viewing the client's account, then select the clients name, underlined in blue.  Please note: if the client has not yet registered, the username will display the 12-digit registration code.  If the client's account is linked to Westpac, the username will appear blank. In this instance they will log in using their Westpac ID.",Go to page,,,,,,,,,,,,,,
2401,matrix,,bt_user_adviser,bt_user_adviser,Yes,bt_login_failure,bt_login_failure,Yes,Yes,"""I encountered problems when trying to log into internet banking. What should I do? """,Segment-specific (bt_user_adviser),"To view your client's username navigate to 'Account details' when viewing the client's account, then select the client's name, underlined in blue.  Please note: if the client has not yet registered, the username will display the 12-digit registration code.  If the client's account is linked to Westpac, the username will appear blank. In this instance they will log in using their Westpac ID. If your client has forgotten their password, they will need to reset it by following the 'Forgot password' prompts on panoramainvestor.com.au. To edit your username and password under the 'Your details' section, select 'Go to page'.",Forgot password page|Go to page,,,,,,,,,,,,,,
2411,matrix,,bt_user_adviser,bt_user_adviser,Yes,bt_not_working,bt_not_working,Yes,Yes,Are there any problems currently with the website?,Default,This query might need a little more attention. I'll connect you with one of our helpful consultants who can assist you further. Please select the ‘Chat with consultant’ button.,Chat with consultant,,,,,,,,,,,,,,
2439,matrix,,bt_user_adviser,bt_user_adviser,Yes,bt_tax_and_annual_statements,bt_tax_and_annual_statements,Yes,Yes,#NAME?,Segment-specific (bt_user_adviser),"Annual and tax statements are generated automatically by BT. These are released after the end of each financial year and are available in the document library. Please note you will have to adjust the date filter to see statements older than 365 days. To locate the Annual audit report, Select the actions menu to the right of the 'Annual investment statement' in the client's document library.",Go to statements|Tax & Annual statement calendar|Why does my client have two statements|Annual statement guide|Panorama Super & Tax Guide,,,,,,,,,,,,,,
2452,matrix,,bt_user_adviser,bt_user_adviser,Yes,bt_usi_abn,bt_usi_abn,Yes,Yes,ABN SPIN,Segment-specific (bt_user_adviser),"The ABN for BT Panorama Super/Pension & BT Super Invest is 90 194 410 365 The USI/SPIN is 90 194 410 365 011. Address:  BT Panorama GPO Box 2861 Adelaide SA 5001 Panorama does not provide an Electronic Service Address, please contact your accountant or SMSF provider for this information.",,,,,,,,,,,,,,,
3286,intent_navigation,intent_navigation,bt_user_adviser,,Yes,bt_tax_and_annual_statements,,Yes,Yes,Tax and annual statements,Intent Navigation,"As part of BT’s simplification we have closed the super fund Retirement Wrap. This means BT Panorama Super accounts have been transferred to another super fund called Asgard Independence Plan Division Two (Division Two fund), as part of a Successor Fund Transfer (SFT). For more information select 'Go to page'.",Why do I have two statements?|Why does my client have two statements,2,Navigate from bt_tax_and_annual_statements to bt_platforms_sft via 'Why does my client have two statements' button,Why does my client have two statements,"As part of BT’s simplification we have closed the super fund Retirement Wrap. This means BT Panorama Super accounts have been transferred to another super fund called Asgard Independence Plan Division Two (Division Two fund), as part of a Successor Fund Transfer (SFT). For more information select 'Go to page'.","As part of BT’s simplification we have closed the super fund Retirement Wrap. This means BT Panorama Super accounts have been transferred to another super fund called Asgard Independence Plan Division Two (Division Two fund), as part of a Successor Fund Transfer (SFT). For more information select 'Go to page'.",,,bt_tax_and_annual_statements,bt_platforms_sft,button,bt_tax_and_annual_statements,bt_platforms_sft,click_button,bt_platforms_sft
3291,intent_navigation,intent_navigation,bt_channel_public,,Yes,Actions_Menu,,Yes,Yes,Where is the actions menu?,Intent Navigation,Please select which applies to your log in difficulties.,Help me sign in,2,Navigate from Actions_Menu to bt_login_failure via 'Help me sign in' button,Help me sign in,Please select which applies to your log in difficulties.,Please select which applies to your log in difficulties.,,,Actions_Menu,bt_login_failure,button,Actions_Menu,bt_login_failure_response,click_button,bt_login_failure
3313,intent_navigation,intent_navigation,bt_channel_public,,Yes,bt_term_deposit,,Yes,Yes,term deposit,Intent Navigation,Please select which applies to your log in difficulties.,Investment options|Help logging in,2,Navigate from bt_term_deposit to bt_login_failure via 'Help logging in' button,Help logging in,Please select which applies to your log in difficulties.,Please select which applies to your log in difficulties.,,,bt_term_deposit,bt_login_failure,button,bt_term_deposit,bt_login_failure_response,click_button,bt_login_failure
3315,intent_navigation,intent_navigation,bt_channel_public,,Yes,bt_register,,Yes,Yes,Can you help me register?,Intent Navigation,Please select which applies to your log in difficulties.,Resend registration code|Help me sign in,2,Navigate from bt_register to bt_login_failure via 'Help me sign in' button,Help me sign in,Please select which applies to your log in difficulties.,Please select which applies to your log in difficulties.,,,bt_register,bt_login_failure,button,bt_register_response,bt_login_failure_response,click_button,bt_login_failure
3319,intent_navigation,intent_navigation,bt_channel_public,,Yes,bt_view_closed_accounts,,Yes,Yes,View closed accounts,Intent Navigation,Please select which applies to your log in difficulties.,Help me sign in,2,Navigate from bt_view_closed_accounts to bt_login_failure via 'Help me sign in' button,Help me sign in,Please select which applies to your log in difficulties.,Please select which applies to your log in difficulties.,,,bt_view_closed_accounts,bt_login_failure,button,bt_view_closed_accounts,bt_login_failure_response,click_button,bt_login_failure
3325,intent_navigation,intent_navigation,bt_user_adviser,,Yes,bt_wrap_employer_cont,,Yes,Yes,Will regular super contributions from employers continue as normal on Panorama?,Intent Navigation,"The ABN for BT Panorama Super/Pension & BT Super Invest is 90 194 410 365
The USI/SPIN is 90 194 410 365 011. Address:  BT Panorama
GPO Box 2861
Adelaide SA 5001 Panorama does not provide an Electronic Service Address, please contact your accountant or SMSF provider for this information.",USI & ABN|ABN & USI,2,Navigate from bt_wrap_employer_cont to bt_usi_abn via 'ABN & USI' button,ABN & USI,"The ABN for BT Panorama Super/Pension & BT Super Invest is 90 194 410 365
The USI/SPIN is 90 194 410 365 011. Address:  BT Panorama
GPO Box 2861
Adelaide SA 5001 Panorama does not provide an Electronic Service Address, please contact your accountant or SMSF provider for this information.","The ABN for BT Panorama Super/Pension & BT Super Invest is 90 194 410 365
The USI/SPIN is 90 194 410 365 011. Address:  BT Panorama
GPO Box 2861
Adelaide SA 5001 Panorama does not provide an Electronic Service Address, please contact your accountant or SMSF provider for this information.",,,bt_wrap_employer_cont,bt_usi_abn,button,bt_wrap_employer_cont_response,bt_usi_abn_response,click_button,bt_usi_abn
3340,intent_navigation,intent_navigation,bt_channel_public,,Yes,bt_funds_not_received,,Yes,Yes,Why cant i see my employer contributions?,Intent Navigation,Please select which applies to your log in difficulties.,Employer contribution details|Help me sign in,2,Navigate from bt_funds_not_received to bt_login_failure via 'Help me sign in' button,Help me sign in,Please select which applies to your log in difficulties.,Please select which applies to your log in difficulties.,,,bt_funds_not_received,bt_login_failure,button,bt_funds_not_received,bt_login_failure_response,click_button,bt_login_failure
3341,intent_navigation,intent_navigation,bt_channel_public,,Yes,bt_how_logout,,Yes,Yes,How to logout?,Intent Navigation,Please select which applies to your log in difficulties.,Help me sign in,2,Navigate from bt_how_logout to bt_login_failure via 'Help me sign in' button,Help me sign in,Please select which applies to your log in difficulties.,Please select which applies to your log in difficulties.,,,bt_how_logout,bt_login_failure,button,bt_how_logout,bt_login_failure_response,click_button,bt_login_failure
3343,intent_navigation,intent_navigation,bt_channel_public,,Yes,bt_approval_notify,,Yes,Yes,How is the client notified to approve application?,Intent Navigation,Please select which applies to your log in difficulties.,Help me sign in,2,Navigate from bt_approval_notify to bt_login_failure via 'Help me sign in' button,Help me sign in,Please select which applies to your log in difficulties.,Please select which applies to your log in difficulties.,,,bt_approval_notify,bt_login_failure,button,bt_approval_notify_response,bt_login_failure_response,click_button,bt_login_failure
